OCN,Org Name,CN,Cert
"009G","Hawaiian Telcom","Hawaiian Telcom SHAKEN Cert 009G","https://cdn-cr.cgah.tnsi.com/certs/d9fd0052c420d93208011ac9911e79e422d0edd4"
"009G","Hawaiian Telcom","Hawaiian Telcom SHAKEN 009G","https://cdn-cr.cgah.tnsi.com/certs/e41b2df552e335b829a64d4d88a3bf63bb39b248"
"0344","Alma Tel","Alma Tel SHAKEN 0344","https://cdn-cr.cgah.tnsi.com/certs/fcae7b765809ac42ad6055a645d5bf714d945bab"
"0376","Pembroke Telephone Company, Inc","Pembroke Telephone Company, Inc SHAKEN Cert 0376","https://cdn-cr.cgah.tnsi.com/certs/54f1b46e13a9f05d1b3f49b6f71314b0b97cc086"
"0379","Plant Telephone Company","Plant Telephone Company SHAKEN 0379","https://cdn-cr.cgah.tnsi.com/certs/81f3a3da944c5778c3db724e7f2a7a58accbd30b"
"0406","Foothills Rural Tel","Foothills Rural Tel SHAKEN Cert 0406","https://cdn-cr.cgah.tnsi.com/certs/75cbed3f99e2082742446010d73f3f45e7ffbb67"
"0418","South Central Rural Telephone","South Central Rural Telecommunications Coop SHAKEN Cert 0418","https://cdn-cr.cgah.tnsi.com/certs/448db51c0154c1b4aa55612c8779cede93963e92"
"0421","West Kentucky Rural Telephone Cooperative","West Kentucky Rural SHAKEN Cert 0421","https://cdn-cr.cgah.tnsi.com/certs/e8ac880da62a959a70d1886399c240bdd0a37078"
"0425","Fastwyre Broadband","Fastwyre Broadband SHAKEN Cert 0425","https://cdn-cr.cgah.tnsi.com/certs/4f2a4a764bced7e27a5c80067dd0410ddd1b9e02"
"0432","Kaplan Telephone","Kaplan Telephone SHAKEN cert 0432","https://cdn-cr.cgah.tnsi.com/certs/c57d0a622b6d80dae91a7391b608bcf4c3d88f74"
"0553","Ben Lomand Rural Telephone COOP Inc","Ben Lomand SHAKEN Cert 0553","https://cdn-cr.cgah.tnsi.com/certs/fe74899c830827a37cd701d031e0a7714e0604ab"
"0562","DTC Communications","DTC Communications SHAKEN Cert 0562","https://cdn-cr.cgah.tnsi.com/certs/e5db82c70d06ef1ac7577b261ae7f92b94871f9f"
"0565","Highland Telephone Cooperative","Highland Telephone Cooperative SHAKEN Cert 0565","https://cdn-cr.cgah.tnsi.com/certs/2ea4f70250c45d8d12df4852263f77d007152f19"
"0579","Twin Lakes","Twin Lakes SHAKEN Cert 0579","https://cdn-cr.cgah.tnsi.com/certs/c432230cd80da72d58bde759a7f87ea43effba4f"
"095A","Ritter Communications","Ritter Communications SHAKEN cert 095A","https://cdn-cr.cgah.tnsi.com/certs/7721a7f2c31bb0f15ac5d46257b8c3bee1bbae6f"
"122D","Nex-Tech Wireless","Nex-Tech Wireless SHAKEN Cert 122D","https://cdn-cr.cgah.tnsi.com/certs/80d8452d00cdf3a5975cb2301a8dcaab3715ae57"
"122D","Nex-Tech Wireless","Nex-Tech Wireless SHAKEN Cert 122D","https://cdn-cr.cgah.tnsi.com/certs/ad181d5ca89f640740624e2555111018c1b2a693"
"127E","New Horizon Communications","New Horizon SHAKEN Cert 127E","https://cdn-cr.cgah.tnsi.com/certs/0ecd34983b628fdc7c5a4fc3ab800205cd77c78e"
"127E","New Horizon","New Horizon SHAKEN 127E","https://cdn-cr.cgah.tnsi.com/certs/e7a4996270fb37885b8079d8ac50fa57f5db0fa1"
"1733","Yelcot","Yelcot SHAKEN Cert 1733","https://cdn-cr.cgah.tnsi.com/certs/02f31fd9be31f3b5cc9fa396dc9fab04f1dc93e1"
"1784","Segra","Segra SHAKEN Cert 1784","https://cdn-cr.cgah.tnsi.com/certs/86728e9104b39e125eb3c8a4f8a8224325991d00"
